Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,61.62,6406622650,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,145.41,95138628978,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,34.41,1131182124,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,55.35,4396912451,n/a,2013,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/wuba
AHC,A.H. Belo Corporation,12.07,265726179.8,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,A10 Networks Inc.,13.6,816740968.8,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AIR,AAR Corp.,27.59,1091696295,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,Aaron&#39;s  Inc.,35.5,2564219209,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,23.02,52960946978,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,41.89,62916205357,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,58.22,92573669243,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,43.23,3146261243,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
GCH,Aberdeen Greater China Fund Inc.,10.62,97696066.86,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
JEQ,Aberdeen Japan Equity Fund Inc. ,7.2454,102692778.3,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,Aberdeen Singapore Fund Inc.,13.23,101233155.2,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,27.2,1523271672,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,28.26,1621464468,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc.,81.55,53818242047,n/a,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACMP,Access Midstream Partmers L.P.,63.25,12782212614,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/acmp
ACCO,Acco Brands Corporation,6.68,762186089.5,n/a,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ACW,Accuride Corporation New,5.12,244236820.5,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw
ACE,Ace Limited,105.15,35509176766,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace
ATV,Acorn International Inc.,1.92,52959864.96,n/a,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ACT,Actavis Inc.,221.58,38656552985,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/act
ATU,Actuant Corporation,34.61,2457873762,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,118.88,5136632067,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
ADX,Adams Express Company (The),13.9501,1297657023,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
AGRO,Adecoagro S.A.,9.61,1176091020,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
ADPT,Adeptus Health Inc.,25.33,520211328.8,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/adpt
PVD,Administradora de Fondos de Pensiones-Provida S.A.,88.85,1962498720,n/a,1994,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pvd
ADT,ADT Corporation,34.76,6056778412,n/a,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/adt
AAP,Advance Auto Parts Inc,134.94,9844498852,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
AMD,Advanced Micro Devices Inc.,4.24,3231057584,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ASX,Advanced Semiconductor Engineering Inc.,6.87,10456309421,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
AAV,Advantage Oil & Gas Ltd,6.66,1127959325,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,12.64,2201861987,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate
AVK,Advent Claymore Convertible Securities and Income Fund,18.9,445678556.4,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,7.66,246963915.2,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,10.41,141607490.3,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,Aecom Technology Corporation,33.22,3297094235,n/a,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,9.9,467992998,n/a,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEB,Aegon NV,23.87,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AED,Aegon NV,25.38,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
AEG,Aegon NV,9.02,22447708609,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.5,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,29.04,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
AER,Aercap Holdings N.V.,46.28,5266024873,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
ARX,Aeroflex Holding Corp.,10.7,911799387.2,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/arx
HIVE,Aerohive Networks Inc.,8.18,373283412.4,n/a,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
ARO,Aeropostale Inc,3.46,272095697.5,n/a,2002,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aro
AET,Aetna Inc.,83.63,29889362000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
AFM,Affiliated Managers Group Inc.,26.19,0,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/afm
AMG,Affiliated Managers Group Inc.,208.66,11534940972,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
MGR,Affiliated Managers Group Inc.,25.85,0,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr
AFL,Aflac Incorporated,63.29,28742776228,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AFSD,Aflac Incorporated,24.32,0,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
MITT,AG Mortgage Investment Trust Inc.,18.54,526216351.9,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt
MITT^A,AG Mortgage Investment Trust Inc.,24.8,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
MITT^B,AG Mortgage Investment Trust Inc.,24.38,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,56.08,5267337946,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
A,Agilent Technologies Inc.,58.46,19482432682,n/a,1999,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/a
GAS,AGL Resources Inc.,53.66,6399377465,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/gas
AEM,Agnico Eagle Mines Limited,38.29,8013158091,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,30.52,456713365.9,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
GRO,Agria Corporation,1.3,71998290,n/a,2007,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/gro
AGU,Agrium Inc.,91.4,13135113103,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
AL,Air Lease Corporation,38.48,3921756001,n/a,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
APD,Air Products and Chemicals Inc.,129.42,27472694563,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,18.04,1461312719,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
ARG,Airgas Inc.,109.48,8133746314,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/arg
AKS,AK Steel Holding Corporation,8.42,1151107959,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
ALP^N,Alabama Power Company,25.16,0,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^n
ALP^O,Alabama Power Company,26.4,0,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o
ALP^P,Alabama Power Company,25.17,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alp^p
ALG,Alamo Group Inc.,55.7,675918553.1,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc,10.02,1276122010,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
ALK,Alaska Air Group Inc.,96.8,6651952252,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
AIN,Albany International Corporation,38.48,1223664000,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,72.46,5763913594,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
ALU,Alcatel Lucent,3.7,10226361876,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alu
AA,Alcoa Inc.,14.98,17560808732,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa
ALR,Alere Inc.,39.42,3262612935,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
ALR^B,Alere Inc.,334.33,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b
ALEX,Alexander & Baldwin Holdings Inc.,40.8,1988087998,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,Alexander&#39;s Inc.,372.59,1902517568,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
ARE,Alexandria Real Estate Equities Inc.,77.36,5542786908,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
ARE^E,Alexandria Real Estate Equities Inc.,25.316,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^e
Y,Alleghany Corporation,440.45,7251671425,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,46.23,5019339313,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,57.16,5517612273,n/a,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle
AGN,Allergan Inc.,169.13,50201941554,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
ALE,Allete Inc.,50.3,2130584564,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale
